rank,graph6,n,edges,alpha,theta_hi,delta_hi,theta_bulk,solver_diff,pr_hi,status_hi,chi_comp
1,J?`D@pgd?{?,11,17,4,4.7748885378,0.7748885378,4.7748885247,1.313e-08,1.268e-09,optimal,6
2,J?`@f?kUDG_,11,17,4,4.7546860747,0.7546860747,4.7546860430,3.164e-08,3.349e-09,optimal,6
3,J?`@f@WFTH?,11,18,4,4.7536642007,0.7536642007,4.7536641806,2.009e-08,1.126e-09,optimal,6
4,J?`FBQoFCi?,11,18,4,4.7524190313,0.7524190313,4.7524190164,1.491e-08,4.043e-10,optimal,6
5,J?`@f@Wl?y?,11,18,4,4.7473773818,0.7473773818,4.7473773346,4.722e-08,3.535e-09,optimal,6
6,JCRbeo{ifI?,11,25,3,3.7355049217,0.7355049217,3.7355048965,2.521e-08,1.404e-09,optimal,4
7,J?`FAqSFf_?,11,19,4,4.7343377284,0.7343377284,4.7343377022,2.616e-08,1.614e-09,optimal,6
8,J?`FAosFdI?,11,19,4,4.7256881720,0.7256881720,4.7256881271,4.495e-08,2.039e-09,optimal,6
9,J?`DD`gD`s?,11,17,4,4.7191791386,0.7191791386,4.7191791519,1.324e-08,1.688e-10,optimal,5
10,JCRbeo{ifM?,11,26,3,3.7128995614,0.7128995614,3.7128995531,8.277e-09,3.746e-10,optimal,4
11,J?`D@pgd?t?,11,17,4,4.7119765311,0.7119765311,4.7119765183,1.287e-08,2.479e-09,optimal,5
12,J?`D@pgd?|?,11,18,4,4.7094710447,0.7094710447,4.7094710033,4.134e-08,1.705e-09,optimal,5
13,J?`DB_sU?}?,11,18,4,4.7089063304,0.7089063304,4.7089063167,1.368e-08,1.316e-09,optimal,5
14,JCQe`psyQ]?,11,24,3,3.7071600888,0.7071600888,3.7071601013,1.255e-08,3.765e-10,optimal,4
15,JCRbeo{iem?,11,26,3,3.7071068362,0.7071068362,3.7071067878,4.837e-08,4.902e-09,optimal,4
16,JCRbeo{ieq?,11,25,3,3.7071068325,0.7071068325,3.7071067709,6.164e-08,3.442e-09,optimal,4
17,JCRbeo{if]?,11,27,3,3.7071068309,0.7071068309,3.7071067873,4.364e-08,5.198e-09,optimal,4
18,JCRbeo{ie~?,11,28,3,3.7071068282,0.7071068282,3.7071067709,5.730e-08,4.485e-09,optimal,4
19,JCRbeo{ifl?,11,27,3,3.7071068232,0.7071068232,3.7071067766,4.658e-08,3.820e-09,optimal,4
20,JCRbeo{ifq?,11,26,3,3.7071068218,0.7071068218,3.7071067896,3.221e-08,4.286e-09,optimal,4
21,JCRbeo{idl?,11,26,3,3.7071068195,0.7071068195,3.7071067838,3.574e-08,3.743e-09,optimal,4
