rank,graph6,n,edges,alpha,theta_hi,delta_hi,theta_bulk,solver_diff,pr_hi,status_hi,perfect,chi_comp
1,HCRbdO{,9,15,3,3.6666666924,0.6666666924,3.6666666799877143,1.246e-08,2.420e-09,optimal,False,4
2,HCrb`qi,9,16,3,3.6180340009,0.6180340009,3.618034000654442,2.408e-10,9.611e-10,optimal,False,4
3,HCQe`pc,9,13,3,3.4703808534,0.4703808534,3.4703808418939186,1.149e-08,4.496e-09,optimal,False,4
4,HCQv@ps,9,15,3,3.4678437744,0.4678437744,3.4678437311163424,4.327e-08,4.151e-09,optimal,False,4
5,HCQb`r},9,17,3,3.4678437725,0.4678437725,3.4678437295533215,4.296e-08,3.333e-09,optimal,False,4
6,HCQb`r~,9,18,3,3.4678437704,0.4678437704,3.4678437213553015,4.904e-08,4.714e-09,optimal,False,4
7,HCQb`rK,9,14,3,3.4678437676,0.4678437676,3.467843742695335,2.491e-08,3.143e-09,optimal,False,4
8,HCQb`py,9,15,3,3.4678437646,0.4678437646,3.4678437376091704,2.704e-08,5.798e-09,optimal,False,4
9,HCQbR_y,9,14,3,3.4678437622,0.4678437622,3.4678437273131033,3.490e-08,2.860e-09,optimal,False,4
10,HCQb`rY,9,15,3,3.4678437590,0.4678437590,3.4678437314341415,2.753e-08,3.505e-09,optimal,False,4
11,HCQb`pq,9,14,3,3.4678437587,0.4678437587,3.4678437317002064,2.701e-08,3.300e-09,optimal,False,4
12,HCQRDO{,9,13,3,3.4678437563,0.4678437563,3.46784374659121,9.722e-09,3.324e-09,optimal,False,4
13,HCQb`qr,9,15,3,3.4678437554,0.4678437554,3.4678437306182675,2.477e-08,2.881e-09,optimal,False,4
14,HCQb`ru,9,16,3,3.4678437488,0.4678437488,3.467843740676165,8.155e-09,2.403e-09,optimal,False,4
15,HCQeR`[,9,14,3,3.4678437487,0.4678437487,3.467843740481947,8.262e-09,1.842e-09,optimal,False,4
16,HCQb`ri,9,15,3,3.4678437479,0.4678437479,3.467843728535125,1.940e-08,2.808e-09,optimal,False,4
17,HCQb`pz,9,16,3,3.4678437463,0.4678437463,3.4678437381438267,8.159e-09,1.652e-09,optimal,False,4
18,HCQb`rm,9,16,3,3.4678437462,0.4678437462,3.467843733946536,1.226e-08,1.567e-09,optimal,False,4
19,HCQb`rz,9,17,3,3.4678437456,0.4678437456,3.4678437342276838,1.134e-08,1.469e-09,optimal,False,4
20,HCQb`ry,9,16,3,3.4678437453,0.4678437453,3.4678437377991975,7.508e-09,2.297e-09,optimal,False,4
21,HCQb`q},9,16,3,3.4678437452,0.4678437452,3.467843736875702,8.294e-09,1.348e-09,optimal,False,4
22,HCQe`q[,9,14,3,3.4678437425,0.4678437425,3.4678437259888146,1.652e-08,2.220e-09,optimal,False,4
23,HCQb`r{,9,16,3,3.4678437382,0.4678437382,3.467843727257409,1.090e-08,1.760e-09,optimal,False,4
24,HCQb`rk,9,15,3,3.4678437352,0.4678437352,3.4678437615558164,2.632e-08,9.427e-10,optimal,False,4
25,HCQb`rq,9,15,3,3.4678437347,0.4678437347,3.467843736087879,1.346e-09,5.277e-10,optimal,False,4
26,HCQb`rs,9,15,3,3.4678437343,0.4678437343,3.4678437426105466,8.263e-09,5.564e-10,optimal,False,4
27,HCRV@qk,9,15,3,3.4678437341,0.4678437341,3.467843737863954,3.743e-09,2.792e-10,optimal,False,4
28,HCQb`qu,9,15,3,3.4678437328,0.4678437328,3.46784373485825,2.033e-09,3.934e-10,optimal,False,4
29,HCQb`rr,9,16,3,3.4678437328,0.4678437328,3.4678437667697084,3.397e-08,6.328e-10,optimal,False,4
30,HCQb`qs,9,14,3,3.4678437309,0.4678437309,3.467843763673387,3.278e-08,3.176e-10,optimal,False,4
31,HCQb`or,9,14,3,3.4678437305,0.4678437305,3.467843736702726,6.168e-09,1.782e-10,optimal,False,4
32,HCQeR_{,9,14,3,3.4674943020,0.4674943020,3.4674942554373214,4.656e-08,5.364e-09,optimal,False,4
33,HCQv@qR,9,15,3,3.4598284417,0.4598284417,3.459828442863683,1.157e-09,2.166e-10,optimal,False,4
34,HCRbdQ{,9,16,3,3.4593960152,0.4593960152,3.4593959718992453,4.332e-08,3.963e-09,optimal,False,4
35,HCQe`ps,9,14,3,3.4576138530,0.4576138530,3.457613837380868,1.561e-08,3.068e-09,optimal,False,4
36,HCRbco{,9,15,3,3.4554913853,0.4554913853,3.455491390253277,4.969e-09,1.624e-09,optimal,False,4
37,HCQbdq],9,16,3,3.4522903429,0.4522903429,3.452290314757889,2.812e-08,4.353e-09,optimal,False,4
38,HCQv@pk,9,15,3,3.4505408552,0.4505408552,3.450540879899442,2.473e-08,7.007e-10,optimal,False,4
39,HCpb`zS,9,16,3,3.4433342856,0.4433342856,3.4433342916338474,6.047e-09,2.061e-09,optimal,False,4
40,HCRb`ym,9,17,3,3.4389903792,0.4389903792,3.438990359404232,1.983e-08,1.236e-09,optimal,False,4
41,HCRbdRR,9,16,3,3.4384472331,0.4384472331,3.438447193990727,3.911e-08,4.520e-09,optimal,False,4
42,HCRbcqh,9,15,3,3.4384472172,0.4384472172,3.4384471871687756,3.006e-08,3.773e-09,optimal,False,4
43,HCRbdRe,9,16,3,3.4384472132,0.4384472132,3.438447193609794,1.957e-08,3.418e-09,optimal,False,4
44,HCRbdPe,9,15,3,3.4384472128,0.4384472128,3.438447195214318,1.758e-08,2.959e-09,optimal,False,4
45,HCRbdPq,9,15,3,3.4384472114,0.4384472114,3.4384471865081156,2.494e-08,3.136e-09,optimal,False,4
46,HCRbdRM,9,16,3,3.4384472107,0.4384472107,3.438447189385986,2.135e-08,4.152e-09,optimal,False,4
47,HCRbdRr,9,17,3,3.4384472090,0.4384472090,3.4384471909196086,1.813e-08,2.636e-09,optimal,False,4
48,HCRbdRm,9,17,3,3.4384472077,0.4384472077,3.4384471977078914,1.003e-08,2.617e-09,optimal,False,4
49,HCRbdPu,9,16,3,3.4384472068,0.4384472068,3.4384471956525546,1.114e-08,4.731e-09,optimal,False,4
50,HCRbdRu,9,17,3,3.4384472066,0.4384472066,3.4384471962599696,1.038e-08,5.027e-09,optimal,False,4
51,HCRbdRs,9,16,3,3.4384472049,0.4384472049,3.4384471934747816,1.139e-08,2.856e-09,optimal,False,4
52,HCRbdQy,9,16,3,3.4384472043,0.4384472043,3.4384471946798834,9.619e-09,2.309e-09,optimal,False,4
53,HCRbdRv,9,18,3,3.4384472042,0.4384472042,3.438447183161894,2.106e-08,4.456e-09,optimal,False,4
54,HCRV@ps,9,15,3,3.4384472028,0.4384472028,3.4384471949900988,7.778e-09,1.825e-09,optimal,False,4
55,HCrb`rS,9,16,3,3.4384472015,0.4384472015,3.4384471965229526,4.987e-09,1.340e-09,optimal,False,4
56,HCRbdRU,9,16,3,3.4384471983,0.4384471983,3.438447231736143,3.346e-08,2.213e-09,optimal,False,4
57,HCRbdRy,9,17,3,3.4384471982,0.4384471982,3.4384471926023914,5.644e-09,2.780e-09,optimal,False,4
58,HCRbdR},9,18,3,3.4384471980,0.4384471980,3.4384471848879166,1.308e-08,2.984e-09,optimal,False,4
59,HCRbdP},9,17,3,3.4384471969,0.4384471969,3.4384472057679103,8.886e-09,7.489e-10,optimal,False,4
60,HCRbdQq,9,15,3,3.4384471969,0.4384471969,3.4384471979391122,1.067e-09,1.006e-09,optimal,False,4
61,HCRbdPy,9,16,3,3.4384471957,0.4384471957,3.4384471876112253,8.130e-09,1.215e-09,optimal,False,4
